Itinerario,,,,,,
,,,,,,
Día,Fecha,Ciudad base,Plan del día,Intensidad,Notas Ricky,Notas
Día 1,1/11/2026,Tokio,Llegada + paseo suave por barrios (Shinjuku/Shibuya),Baja,bacino,Ajustar según energía
Día 2,2/11/2026,Tokio,Museo Ghibli + Kichijoji + Inokashira Park,Media,coccola,Depende de entrada Ghibli
Día 3,3/11/2026,Takayama,Tokio ? Nagoya (castillo + santuario) ? Takayama,Alta,,Enviar maletas a Osaka
Día 4,4/11/2026,Takayama,"Takayama: casco antiguo, kura (sake), Hida beef",Baja,,Día experiencial
Día 5,5/11/2026,Osaka,Takayama ? Osaka + Dotonbori + paseo nocturno,Media,,Base en Namba
Día 6,6/11/2026,Osaka,"Osaka: Kuromon, Shinsekai, Castillo Osaka, Sumiyoshi Taisha",Media,,Día completo
Día 7,7/11/2026,Osaka,Himeji + Kobe (castillo + comida + paseo puerto),Alta,,Día potente
Día 8,8/11/2026,Osaka,"Nara: Todai-ji, Kasuga Taisha, Kofuku-ji + Osaka (Nakazakicho + Umeda Sky)",Media,,Tarde tranquila
Día 9,9/11/2026,Osaka,Uji: Byodo-in + ceremonia del té + museo del té + Nintendo,Alta,,Día temático matcha
Día 10,10/11/2026,Koyasan,Osaka ? Koyasan + Okunoin + cena shukubo,Baja,,Experiencia espiritual
Día 11,11/11/2026,Osaka,Oración + Danjo Garan + Kongobu-ji ? Osaka (Amerikamura),Media,,Mañana clave
Día 12,12/11/2026,Kinosaki Onsen,Osaka ? Kinosaki + ryokan + onsen,Baja,,Día relax
Día 13,13/11/2026,Tokio,Kinosaki ? Hikone (castillo) ? Tokio,Alta,,Día activo
Día 14,14/11/2026,Tokio,"Sumo + café animales + compras (Uniqlo, Bic Camera, Don Quijote)",Alta,,Día final completo
Día 15,15/11/2026,—,Tokio ? Aeropuerto (mañana tranquila + vuelta),Media,,Vuelo 11:45
